id,label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0x0412dba14291fef999937c40b998b98db8bf9d88,False,20.02135213645505,0.0,0.43010752688172044,0.5698924731182796,0.0,0.3718927606833358,0.38971185233053307,0.0,7.508007051170644,19.020284529632296,0.38461538461538464,16.66666667,10.36946236,0.000950374,0.291974492,0.557061733,0.106687975,1
0x24286ea19bda3d0e40905b60ea8189d3358fe8d2,True,5.211200338747717,0.0,0.2916666666666667,0.7083333333333334,0.0,0.11476657482514788,0.25215313770447584,0.0,7.4445719124967376,5.211200338747717,1.25,16.66666667,10.63708236,0.301265538,-3.79e-09,0.0,0.142333333,2
0x21e73c15db8d1e8dd009221442f10a0ca4127b3a,False,5.681665168799692,0.0,0.24324324324324326,0.7567567567567568,0.0,0.2742243700262436,0.36716124667000727,0.0,7.57555355839959,10.10073807786612,0.7058823529411765,16.66666667,11.45622003,0.040542632,4.86e-15,2.22e-05,0.0,1
0x7c58d9df9c421ac653e75fbcdd7900147b0baf01,False,13.067845627098361,2.513047235980454,0.11818181818181818,0.8590909090909091,0.022727272727272728,0.14436777384214394,0.27464579295595803,0.31369879034952886,52.271382508393444,42.72180301166772,1.2093023255813953,16.66666667,12.72975985,0.129615393,-4.59e-11,0.030029182,5.34e-05,2
0xddf392c936560269d21b34d3a517a0fd788a12db,False,15.12796826604358,3.129924468836603,0.15846994535519127,0.8087431693989071,0.03278688524590164,0.050175896023902385,0.1012335260886891,0.17902086049308588,41.7323262511547,35.4724773134815,1.1594202898550725,16.66666667,13.12123212,0.105374273,-1.05e-16,0.004,0.0,1
0x9ca233c0a7de3794df1c087d5d2016b9d8b816e1,False,1.5915412529703243,0.0,0.42857142857142855,0.5714285714285714,0.0,0.6644657313625807,0.3778247360465746,0.0,2.1220550039604325,0.0,4.0,16.66666667,13.59188616,0.0,0.452881667,0.0,0.022546136,1
0x96c56122ff8e4eae62c0982e6b340de12484cdec,False,0.506254096364061,0.0,0.011494252873563218,0.9885057471264368,0.0,0.0,0.495143738228079,0.0,30.88149987820772,12.656352409101524,2.3461538461538463,16.66666667,16.82029445,0.0,0.439457888,0.000442163,9.17e-20,1
0x0641d94e5392519f10d7545ec8f322b289f11304,False,6.005386776332938,1.0008977960554897,0.08955223880597014,0.8955223880597015,0.014925373134328358,0.09446510356708049,0.21120561854517447,0.5194636542076974,32.02872947377567,28.02513828955371,1.1228070175438596,16.66666667,17.69136541,0.124608643,-6.78e-14,0.42991369,0.0,1
0xc7210c751b1925fbddd17d9babafbf23c0afa154,False,0.9926095883328984,0.0,0.2,0.8,0.0,0.0,0.5540750610703975,0.0,1.9852191766657967,1.9852191766657967,0.6666666666666666,16.66666667,23.04106819,0.000302571,0.63320169,0.0,0.00462355,1
0xf461aca91c224cf69238372598949e200e5395ca,True,5.8281055765950684,0.7285131970743836,0.4444444444444444,0.5,0.05555555555555555,0.13635839278742057,0.09757569303943492,1.0,5.099592379520685,1.4570263941487671,2.3333333333333335,16.66666667,23.49117316,1.0,-0.310724527,0.0,0.428971196,1
0x29478718708021866d5f018993b2f83e0bc97d3a,False,7.439251646709349,0.0,0.4827586206896552,0.5172413793103449,0.0,0.542867266990264,0.5149396582917588,0.0,4.782376058598867,3.1882507057325777,1.2857142857142858,16.66666667,27.75950436,0.0,0.001467624,0.0,0.6999995,1
0x6af1becb78701f5919adb6f6932965abe4547763,False,0.5000202554501629,0.5000202554501629,0.001430615164520744,0.9971387696709585,0.001430615164520744,0.0,0.3036423255190979,0.3507410487952893,241.50978338242868,107.00433466633486,2.2465116279069766,16.66666667,34.95772404,0.0,0.947219935,0.500002969,0.015051546,1
0xd0c59ec31b3e9e0f26a5bbf1b3cb9dab05ae58e9,True,2.0853985893906035,0.0,0.018018018018018018,0.9819819819819819,0.0,0.08934636732665065,0.18648719712714268,0.0,67.77545415519461,45.87876896659328,1.4606741573033708,16.66666667,34.95914537,0.009052302,0.939135132,0.0,2.5e-10,1
0xb62efb2fa5075e7526276615283cbd9a973f9e6f,False,13.001461804567974,5.000562232526144,0.03291139240506329,0.9544303797468354,0.012658227848101266,0.11404350184565312,0.21276444438564227,0.2896319278144556,239.02687471474968,138.01551761772157,1.7256317689530687,16.66666667,36.08048977,1.33e-05,0.973262074,0.571369838,-1.2e-16,1
0x9b3df8eae6e1ed1b931086852860d3c6375d7ae6,False,0.9811237500730003,0.0,0.000999000999000999,0.999000999000999,0.0,0.0,0.2671020969405294,0.0,559.2405375416101,421.88321253139014,1.322505800464037,16.66666667,36.44810857,0.0,0.981640126,0.0,1e-16,1
0xfcc3a312a65ffca5d54e61a7d0e6d95e9875f1b1,False,1.0019789415437732,0.0,0.002677376171352075,0.9973226238286479,0.0,0.4940447634588346,0.5354068899804286,0.0,212.9205250780518,160.3166306470037,1.32398753894081,16.66666667,36.97016942,0.0,0.993338782,3.61e-09,0.066073302,1
0xe9d6de22ddeefda405fea20026cf2e3f92745b97,False,6.703701203236172,3.6565642926742754,0.010816125860373648,0.983284169124877,0.0058997050147492625,0.17312380839355326,0.01866065370336449,0.35848165796799336,455.2422544379473,154.18512767443195,2.940944881889764,16.66666667,37.06003022,0.0,0.995351595,0.0,0.014171778,1
0x3bb433ee4f4045d793fb9163e309e6735a7c3df5,True,6.009762883652759,1.5024407209131898,0.037037037037037035,0.9537037037037037,0.009259259259259259,0.2668391848515763,0.45874575961913294,0.5892657194754783,123.20013911488157,31.551255139176988,3.84375,16.66666667,37.17710122,0.99797085,7.33e-13,0.0,0.018433573,1
0x307148757db13e68b341b041072a07d93ce831de,False,0.5025931579852729,0.0,0.004219409282700422,0.9957805907172996,0.0,0.0,0.06361110600625837,0.0,65.83970369607076,52.77228158845366,1.2358490566037736,16.66666667,37.20207103,0.228147436,0.770382809,0.032927776,0.1,1
